cantor,musica,codigo,clipe,at
A flood of circle,The beautiful monkeys,98-904-36,PV,C20
A flood of circle,I love you,98-904-35,PV,C20
A flood of circle,New tribe,98-854-35,PV,C31
A flood of circle,AOKU NURE,98-838-48,PV,C29
A flood of circle,HANA,98-832-91,PV,C28
A flood of circle,Best Ride,98-832-90,PV,C28
A Girl Called Jane,He's Alive,55-706-06,CDG,G01
A Great Big World & Christina Aguilera,Say Something,13-550-01,CDG,G14
A Perfect Circle,Outsider,56-402-08,CDG,G05
A Perfect Circle,Blue (Remix),56-410-01,CDG,G05
A Perfect Circle,Weak And Powerless,68-855-14,CDG,G01
A Teens,Mamma Mia,97-049-38,VDK,USA2
A Teens,Super Trouper,97-049-70,VDK,USA2
A Teens,Around The World,72-185-13,CDG,G00
A Turma da Mônica,Ser Criança É Bom,97-075-48,VDK,INF1
A Vigília,Jeová É O Teu Cavaleiro,97-056-14,VDK,EV2
A Vigília,Jesus Te Entronizamos,97-056-17,VDK,EV2
A Vigília,Renova-Me,97-056-36,VDK,EV2
A Vigília 2,Estamos Aqui,97-056-08,VDK,EV2
A Zorra,A Cor Da Esperança,97-095-74,VDK,14
A-Ha,Take On Me,97-049-73,VDK,USA2
A-Ha,Hunting High And Low,97-192-13,VDK,INT06B
A-Ha,You Are The One,97-194-00,VDK,INT07B
A-Ha,Crying In The Rain,34-090-03,CDG,G07
A-Ha,Stay On These Roads,34-090-12,CDG,G07
A-Ha,Take On Me,48-066-05,CDG,G00
A-Ha,The Livingdaylights,68-468-10,CDG,G01
A-Ha,Analogue,72-240-02,CDG,G01
A-Ha,The Sun Always Shines On Tv,74-817-07,CDG,G01
A-Ha,Hunting High And Low,74-820-15,CDG,G01
A-Ha,Touchy,74-888-07,CDG,G01
A-Ha,Cry Wolf,74-918-02,CDG,G04
A-JARI,SOTSUGYOH,99-222-14,SB,L0
A-Rise,Private Wars,99-916-66,SB,M29
A. Baqueiro & García L.,Sirena,13-081-08,CDG,G02
A. Jassa & E. Britos, J.C. Caseres,Mayonesa,13-076-01,CDG,G02
A. Navarro & R. Ortega, J.L. Paredes / E. M,Kumbala,13-073-01,CDG,G02
A.B. Quintanilla,Amor Prohibido,13-066-07,CDG,G02
A.B. Quintanilla,Como La Flor,13-066-09,CDG,G02
A.B. Quintanilla III & Los Kumbia Kings & Ozomatli,Mi Gente,09-571-04,CDG,G01
A.B.C-Z,HANA KOTOBA,99-918-10,SB,M29
A.B.C-Z,Moonlight walker,99-534-28,SB,M28
A.B.C-Z,HANA KOTOBA,98-838-49,PV,C29
A.B.C-Z,Moonlight walker,98-832-92,PV,C28
A.B.C-Z,Space travelers,98-824-38,PV,C26
A.B.C-Z,Finally Over,98-824-37,PV,C26
A.N.JELL,promise,99-897-77,SB,M20
A.N.JELL,Miss You,99-897-76,SB,M20
A.N.JELL,FUTARI,99-897-75,SB,M20
A.N.JELL,Alone,99-897-74,SB,M20
A.R. Rahman & Pussycat Dolls,Jai Ho (You Are My Destiny),72-278-13,CDG,G03
A&D,Nostalgia,98-909-62,PV,C21
A$AP Rocky,Goldie,58-208-04,CDG,G09
A1,Like A Rose,72-161-06,CDG,G00
A1,Take On Me,72-171-13,CDG,G10
A1,Same Old Brand New You,72-173-05,CDG,G10
A1,No More,72-175-10,CDG,G00
A1,Ready Or Not,72-187-09,CDG,G00
A1,Caught In The Middle,72-187-15,CDG,G00
A1,Make It Good,72-192-11,CDG,G03
A10,Prismatic,98-838-50,PV,C29
A3,Woke Up This Morning (Chosen One Mix-Sopranos Theme),68-821-08,CDG,G01
AAA (Triple A),NAMIDA NO NAI SEKAI,99-920-24,SB,M31
AAA (Triple A),Crash,99-912-33,SB,M20
AAA (Triple A),Charge & go!,99-897-78,SB,M20
AAA (Triple A),No more no cry,99-891-23,SB,M19
AAA (Triple A),MAKENAI KOKORO,99-886-35,SB,M17
AAA (Triple A),Field,99-885-34,SB,M17
AAA (Triple A),AITAI RIYUH,99-885-33,SB,M17
AAA (Triple A),Crazy gonna crazy,99-882-16,SB,M16
AAA (Triple A),Wonderful life,99-878-79,SB,M16
AAA (Triple A),TABIDACHI NO UTA,99-876-65,SB,M15
AAA (Triple A),Zero,99-871-91,SB,M14
AAA (Triple A),Music!!!,99-871-90,SB,M14
AAA (Triple A),Mirage,99-869-18,SB,M12
AAA (Triple A),No end summer,99-865-72,SB,M12
AAA (Triple A),HANABI,99-865-71,SB,M12
AAA (Triple A),Sunshine,99-863-07,SB,M10
AAA (Triple A),Kirei na sora,99-859-94,SB,M09
AAA (Triple A),Soul edge boy,99-853-89,SB,M09
AAA (Triple A),Q,99-853-88,SB,M09
AAA (Triple A),Let it beat!,99-853-87,SB,M09
AAA (Triple A),KIMONO Jet girl,99-853-86,SB,M09
AAA (Triple A),Hallellujah,99-853-85,SB,M09
AAA (Triple A),Dragon fire,99-853-84,SB,M09
AAA (Triple A),Chewing gum,99-853-83,SB,M09
AAA (Triple A),Blood on fire,99-853-82,SB,M09
AAA (Triple A),Lover,99-534-30,SB,M28
AAA (Triple A),AISHITERU NO NI, AISENAI,99-534-29,SB,M28
AAA (Triple A),SAYONARA NO MAE NI,99-531-87,SB,M26
AAA (Triple A),Lil' Infinity,99-531-86,SB,M26
AAA (Triple A),Show time,99-531-42,SB,M25
AAA (Triple A),KOI OTO TO AMAZORA,99-527-08,SB,M25
AAA (Triple A),Love,99-526-86,SB,M24
AAA (Triple A),Party it up,99-521-22,SB,M22
AAA (Triple A),NIJI,99-521-21,SB,M22
AAA (Triple A),Miss You,99-518-07,SB,M22
AAA (Triple A),No end summer,98-977-86,PV,C11
AAA (Triple A),HANABI,98-977-42,PV,C11
AAA (Triple A),She NO JIJITSU,98-973-11,PV,C08
AAA (Triple A),Red soul,98-973-10,PV,C08
AAA (Triple A),That's right,98-972-29,PV,C08
AAA (Triple A),KUCHIBIRU KARA Romantica,98-972-28,PV,C08
AAA (Triple A),Sunshine,98-972-04,PV,C08
AAA (Triple A),Wonderful life,98-967-29,PV,C07
AAA (Triple A),Winter lander!!,98-967-28,PV,C07
AAA (Triple A),IZA YUKE WAKATAKA GUNDAN 2007,98-967-27,PV,C07
AAA (Triple A),Get CHU!,98-967-26,PV,C07
AAA (Triple A),SAMURAI heart,98-964-10,PV,C06
AAA (Triple A),Chewing gum,98-964-09,PV,C06
AAA (Triple A),Soul edge boy,98-959-23,PV,C05
AAA (Triple A),Q,98-959-22,PV,C05
AAA (Triple A),Let it beat!,98-959-21,PV,C05
AAA (Triple A),KIMONO Jet girl,98-959-20,PV,C05
AAA (Triple A),Welcome to this world,98-957-75,PV,C04
AAA (Triple A),Kirei na sora,98-957-74,PV,C04
AAA (Triple A),Friday party,98-957-73,PV,C04
AAA (Triple A),Dragon fire,98-957-72,PV,C04
AAA (Triple A),Crazy gonna crazy,98-957-71,PV,C04
AAA (Triple A),Blood on fire,98-957-70,PV,C04
AAA (Triple A),Hallellujah,98-956-51,PV,C03
AAA (Triple A),No more no cry,98-949-85,PV,C19
AAA (Triple A),Call,98-949-84,PV,C19
AAA (Triple A),Paradise,98-945-65,PV,C18
AAA (Triple A),DAIJI NA KOTO,98-945-64,PV,C18
AAA (Triple A),MAKENAI KOKORO,98-939-21,PV,C17
AAA (Triple A),Field,98-939-20,PV,C17
AAA (Triple A),Dream After Dream - YUME KARA SAMETA YUME -,98-939-16,PV,C17
AAA (Triple A),AITAI RIYUH,98-939-15,PV,C17
AAA (Triple A),Summer Revolution,98-935-12,PV,C16
AAA (Triple A),Hide-away,98-935-11,PV,C16
AAA (Triple A),Heart and Soul,98-935-10,PV,C16
AAA (Triple A),Break Your Name,98-935-09,PV,C16
AAA (Triple A),Break Down,98-935-08,PV,C16
AAA (Triple A),TABIDACHI NO UTA,98-930-43,PV,C15
AAA (Triple A),Jamboree!!,98-930-42,PV,C15
AAA (Triple A),Zero,98-926-93,PV,C14
AAA (Triple A),Music!!!,98-926-92,PV,C14
AAA (Triple A),No End Summer,98-923-63,PV,C13
AAA (Triple A),Crash,98-923-62,PV,C13
AAA (Triple A),Beyond ~ KARADA NO KANATA,98-923-61,PV,C13
AAA (Triple A),Mirage,98-921-02,PV,C12
AAA (Triple A),Party it up,98-919-45,PV,C22
AAA (Triple A),NIJI,98-919-44,PV,C22
AAA (Triple A),Miss You,98-919-43,PV,C22
AAA (Triple A),IsM,98-919-42,PV,C22
AAA (Triple A),Wishes,98-909-65,PV,C21
AAA (Triple A),Still love you,98-909-64,PV,C21
AAA (Triple A),777 ~We can sing a song!~,98-909-63,PV,C21
AAA (Triple A),Sailing,98-904-40,PV,C20
AAA (Triple A),Charge & go!,98-904-39,PV,C20
AAA (Triple A),Magic,98-854-37,PV,C31
AAA (Triple A),Cocoa,98-854-36,PV,C31
AAA (Triple A),NAMIDA NO NAI SEKAI,98-847-01,PV,C30
AAA (Triple A),Jewel,98-846-99,PV,C30
AAA (Triple A),New,98-838-51,PV,C29
AAA (Triple A),Lover,98-832-95,PV,C28
AAA (Triple A),ASHITA NO HIKARI,98-832-94,PV,C28
AAA (Triple A),AISHITERU NO NI, AISENAI,98-832-93,PV,C28
AAA (Triple A),SAYONARA NO MAE NI,98-824-40,PV,C26
AAA (Triple A),Lil' Infinity,98-824-39,PV,C26
AAA (Triple A),Wake up!,98-818-89,PV,C25
AAA (Triple A),Show time,98-818-88,PV,C25
AAA (Triple A),KAZE NI KAORU NATSU NO KIOKU,98-818-87,PV,C25
AAA (Triple A),Love,98-813-36,PV,C24
AAA (Triple A),Love is in the air,98-805-85,PV,C23
AAA (Triple A),KOI OTO TO AMAZORA,98-805-84,PV,C23
aagna,Forever feat. Noa,99-525-53,SB,M24
aagna,Forever feat. Noa,98-813-37,PV,C24
Aaliyah,Try Again,23-003-11,CDG,G00
Aaliyah,I Care 4 U,23-026-11,CDG,G00
Aaliyah,More Than A Woman,42-008-06,CDG,G00
Aaliyah,Rock The Boat,42-011-10,CDG,G00
Aaliyah,The One I Gave My Heart To,48-231-02,CDG,G07
Aaliyah,If Your Girl Only Knew,68-320-15,CDG,G04
Aaliyah,At Your Best (You Are Love),68-374-07,CDG,G00
Aaliyah,Miss You,68-805-04,CDG,G00
Aaliyah,I Don't Wanna,72-173-07,CDG,G10
Aaliyah,We Need A Resolution,72-181-09,CDG,G00
Aaliyah & Tank,Come Over,68-849-13,CDG,G01
AARON,Gelato,98-832-96,PV,C28
Aaron Alexander,Crazy Luv,58-106-08,CDG,G07
Aaron Carter,Crush On You,15-254-03,CDG,G19
Aaron Carter,I'm All About Me,16-205-08,CDG,G09
Aaron Carter,Saturday Night,16-507-06,CDG,G09
Aaron Carter,Aaron's Party Come & Get It,84-146-01,CDG,G00
Aaron Carter,I Want Candy,84-146-10,CDG,G00
Aaron Fresh,Spending All My Time,58-009-06,CDG,G05
Aaron Goodvin,Lonely Drum,15-253-06,CDG,G19
Aaron Lewis,That Ain't Country,15-226-10,CDG,G18
Aaron Lewis,Country Boy,26-461-06,CDG,G07
Aaron Lewis & Fred Durst,Outside,16-106-08,CDG,G09
Aaron Lines,You Can't Hide Beautiful,68-784-08,CDG,G00
Aaron Lines,Love Changes Everything,68-826-01,CDG,G01
Aaron Neville,Don't Take Away My Heaven,37-082-17,CDG,G00
Aaron Neville,Tell It Like It Is,67-571-05,CDG,G00
Aaron Neville,Can't Stop My Heart From Loving You,68-170-01,CDG,G00
Aaron Neville,Betcha By Golly Wow,68-244-02,CDG,G00
Aaron Neville,Everybody Plays The Fool,68-363-10,CDG,G00
Aaron Neville & Kenny G,Even If My Heart Would Break,14-001-04,CDG,G07
Aaron Shust,My Savior My God,09-010-10,CDG,G03
Aaron Tippin,That's As Close As I'll Get To Loving You,25-604-01,CDG,G17
Aaron Tippin,Honky Tonk Superman,51-101-95,CDG,G06
Aaron Tippin,For You I Will,51-103-56,CDG,G06
Aaron Tippin,Where The Stars And Stripes And The Eagles Fly,51-105-64,CDG,G06
Aaron Tippin,Working Man's Ph.D.,51-110-36,CDG,G06
Aaron Tippin,Kiss This,67-594-11,CDG,G00
Aaron Tippin,There Ain't Nothin' Wrong With The Radio,68-104-09,CDG,G00
Aaron Tippin,She Feels Like A Brand New Man To,68-160-08,CDG,G00
Aaron Tippin,I Was Born With A Broken Heart,68-217-01,CDG,G00
Aaron Tippin,Whole Lotta Love On The Line,68-217-15,CDG,G00
Aaron Tippin,That's What Happens When I Hold You,68-358-08,CDG,G00
Aaron Tippin,Her,68-549-04,CDG,G07
Aaron Tippin,People Like Us,68-633-13,CDG,G07
Aaron Tippin,If Her Lovin' Don't Kill Me,68-784-09,CDG,G00
Aaron Tippin,I'll Take Love Over Money,70-095-14,CDG,G00
Aaron Tippin,Love Like There's No Tomorrow,70-104-14,CDG,G00
ABBA,Mamma Mia,97-025-33,VDK,INT04A
ABBA,Dancing Queen,97-045-74,VDK,A1
ABBA,Winner Takes It All,97-047-87,VDK,A2
ABBA,Chiquitita,97-048-77,VDK,USA2
ABBA,I Have A Dream,97-091-16,VDK,C08A
ABBA,Fernando,97-193-33,VDK,INT07A
ABBA,Ring Ring,96-507-91,I00,JUK
ABBA,Waterloo,96-507-62,I00,JUK
ABBA,Mamma Mia,96-501-06,I00,JUK
ABBA,Dancing Queen,96-501-02,I00,JUK
ABBA,Money Money Money,96-501-07,I00,JUK
ABBA,Knowing Me Knowing You,96-501-05,I00,JUK
ABBA,The Name Of The Game,96-507-95,I00,JUK
ABBA,Eagle,96-501-03,I00,JUK
ABBA,Take A Chance On Me,96-507-93,I00,JUK
ABBA,Does Your Mother Know,96-507-89,I00,JUK
ABBA,Voulez Vous,96-507-97,I00,JUK
ABBA,I Have A Dream,96-501-04,I00,JUK
ABBA,Winner Takes It All,96-507-96,I00,JUK
ABBA,One Of Us,96-501-08,I00,JUK
ABBA,Thank You For The Music,96-507-94,I00,JUK
ABBA,Chiquitita,96-501-01,I00,JUK
ABBA,Gimme Gimme Gimme,96-507-90,I00,JUK
ABBA,Sos,96-507-92,I00,JUK
ABBA,Ring Ring,46-181-15,CDG,G02
ABBA,Waterloo,72-024-13,CDG,G00
ABBA,Mamma Mia,46-181-03,CDG,G02
ABBA,Fernando,68-861-12,CDG,G01
ABBA,Dancing Queen,67-542-03,CDG,G00
ABBA,Money Money Money,46-181-08,CDG,G02
ABBA,Knowing Me Knowing You,46-181-05,CDG,G02
ABBA,The Name Of The Game,90-521-12,CDG,G02
ABBA,Take A Chance On Me,68-283-02,CDG,G00
ABBA,Does Your Mother Know,46-181-09,CDG,G02
ABBA,Voulez Vous,46-181-12,CDG,G02
ABBA,I Have A Dream,72-076-01,CDG,G00
ABBA,Winner Takes It All,46-181-18,CDG,G02
ABBA,Super Trouper,72-024-14,CDG,G00
ABBA,One Of Us,86-918-20,CDG,G05
ABBA,Honey Honey,46-181-07,CDG,G02
ABBA,Thank You For The Music,72-057-03,CDG,G00
ABBA,Chiquitita,46-181-06,CDG,G02
ABBA,The When All Is Said & Done,11-001-91,CDG,G11
ABBA,When All Is Said & Done,11-001-92,CDG,G11
ABBA,When I Kissed The Teacher,11-001-93,CDG,G11
ABBA,The Way Old Friends Do,11-101-02,CDG,G12
ABBA,Stars On 45,15-002-05,CDG,G00
ABBA,Gimme Gimme Gimme,25-686-02,CDG,G00
ABBA,Lay Your Love On Me,25-686-08,CDG,G00
ABBA,Sos,46-181-04,CDG,G02
ABBA,I Do I Do I Do I Do I Do,46-181-11,CDG,G02
ABBA,Lay All Your Love On Me,46-181-14,CDG,G02
ABBA,Super Trouper,46-181-16,CDG,G02
ABBA,Mamma Mia,72-028-08,CDG,G00
ABBA,As Good as New,72-868-06,CDG,G19
ABBA,Summer Night City,72-868-07,CDG,G19
ABBA,Rock Me,72-868-10,CDG,G19
ABBA,The Day Before You Came,72-868-14,CDG,G19
ABBA,Hasta Manana,74-929-05,CDG,G06
ABBA,Our Last Summer,86-916-10,CDG,G05
ABBA,Slipping Through My Fingers,86-917-09,CDG,G05
ABBA,Ring Ring,99-600-71,SB-PV,USA1
ABBA,Waterloo,99-600-72,SB-PV,USA1
ABBA,S.O.S.,99-600-73,SB-PV,USA1
ABBA,Mamma Mia,99-600-74,SB-PV,USA1
ABBA,Fernando,99-600-75,SB-PV,USA1
ABBA,Dancing Queen,99-600-76,SB-PV,USA1
ABBA,Money Money Money,99-600-77,SB-PV,USA1
ABBA,Knowing Me Knowing You,99-600-78,SB-PV,USA1
ABBA,The Name Of The Game,99-600-79,SB-PV,USA1
ABBA,Eagle,99-600-80,SB-PV,USA1
ABBA,Take A Chance On Me,99-600-81,SB-PV,USA1
ABBA,Does Your Mother Know,99-600-82,SB-PV,USA1
ABBA,Voulez Vous,99-600-83,SB-PV,USA1
ABBA,I Have A Dream,99-600-84,SB-PV,USA1
ABBA,Winner Takes It All,99-600-85,SB-PV,USA1
ABBA,Super Trouper,99-600-86,SB-PV,USA1
ABBA,One Of Us,99-600-87,SB-PV,USA1
ABBA,Under Attack,99-600-88,SB-PV,USA1
ABBA,Honey Honey,99-600-89,SB-PV,USA1
ABBA,Thank You For The Music,99-600-90,SB-PV,USA1
ABBA,Chiquitita,99-653-21,SB-PV,USA1
ABC,Poison Arrow,67-564-07,CDG,G00
ABC,The Look Of Love,72-111-02,CDG,G04
ABC,When Smokey Sings,74-801-11,CDG,G01
ABC,All Of My Heart,76-889-03,CDG,G07
ABC-Z,Za ABC -5stars-,98-904-38,PV,C20
ABC-Z,SUNA NO glass,98-904-37,PV,C20
ABC-Z,Shower gate,98-829-87,PV,C27
ABC-Z,Never my love,98-813-35,PV,C24
ABC-Z,Like a blow,98-813-34,PV,C24
ABC-Z,Walking on clouds,98-805-88,PV,C23
ABC-Z,Twinkle Twinkle A.B.C-Z,98-805-87,PV,C23
ABC-Z,My life,98-805-86,PV,C23
ABCHO,ME O TOJITE GYUH SHIYO,98-919-02,PV,C21
ABE ASAMI,SOTSUGYOH,98-939-23,PV,C17
ABE ASAMI,KIMI O TSURETE IKU,98-939-22,PV,C17
ABE FUYUMI,Highway highway,98-907-65,PV,C20
ABE MAO,SOBA NI ITE,99-897-79,SB,M20
ABE MAO,TSUTAETAI KOTO,99-876-66,SB,M15
ABE MAO,Lonely,99-531-88,SB,M26
ABE MAO,ANATA GA SUKI NA WATASHI,99-523-30,SB,M23
ABE MAO,MOTTO,98-949-86,PV,C19
ABE MAO,19 SAI NO UTA,98-945-66,PV,C18
ABE MAO,ITSU NO HI MO,98-935-14,PV,C16
ABE MAO,ANATA NO KOIBITO NI NARITAI DESU,98-935-13,PV,C16
ABE MAO,TSUTAETAI KOTO,98-930-44,PV,C15
ABE MAO,SAIGO NO WATASHI,98-919-46,PV,C22
ABE MAO,SEKAI WA MADA KIMI O SHIRANAI,98-909-66,PV,C21
ABE MAO,SOBA NI ITE,98-904-41,PV,C20
ABE MAO,IKISOU NA hero TO NUKA NI KUGI OTOKO,98-854-39,PV,C31
ABE MAO,HAHA DE ARU TAME NI,98-854-38,PV,C31
ABE MAO,ONNA TACHI,98-847-02,PV,C30
ABE MAO,You changed my life,98-832-97,PV,C28
ABE MAO,YASASHII KOTOBA,98-824-43,PV,C26
ABE MAO,SOREZORE ARUKI DASOH,98-824-42,PV,C26
ABE MAO,Lonely,98-824-41,PV,C26
ABE MAO,Free (live version),98-818-91,PV,C25
ABE MAO,Believe in yourself,98-818-90,PV,C25
ABE MAO,boyfriend,98-805-90,PV,C23
ABE MAO,ANATA GA SUKI NA WATASHI,98-805-89,PV,C23
ABE MIDORI,ONNA SHUSSE GASA,99-261-05,SB,L1
ABE MIDORI,NOZOMI ZAKA,99-234-09,SB,L0
ABE NATSUMI,DATTE IKITEKANAKUCHA,99-885-35,SB,M17
ABE NATSUMI,Screen,99-875-16,SB,M15
ABE NATSUMI,IKI O KASANEMASHOH,99-865-73,SB,M12
ABE NATSUMI,Too Far Away ~ONNA NO KOKORO,99-863-57,SB,M11
ABE NATSUMI,AMASUGITA KAJITSU,99-859-95,SB,M09
ABE NATSUMI,The Stress,99-853-90,SB,M09
ABE NATSUMI,IKI O KASANEMASHOH,98-977-43,PV,C11
ABE NATSUMI,Too Far Away ~ONNA NO KOKORO,98-975-40,PV,C09
ABE NATSUMI,AMASUGITA KAJITSU,98-964-11,PV,C06
ABE NATSUMI,The Stress,98-959-24,PV,C05
ABE NATSUMI,DATTE IKITEKANAKUCHA,98-939-25,PV,C17
ABE NATSUMI,22SAI NO WATASHI,98-939-24,PV,C17
ABE NATSUMI,Screen,98-930-45,PV,C15
ABE NATSUMI,KAZE O KANJITE,98-832-98,PV,C28
ABE NATSUMI,HIKARI E,98-824-45,PV,C26
ABE NATSUMI,Best friend,98-824-44,PV,C26
ABE NATSUMI,FURUSATO,98-818-92,PV,C25
ABE NATSUMI & YAJIMA MAIMI (C-ute),16 SAI NO KOI NANTE,99-868-04,SB,M12
ABE NATSUMI & YAJIMA MAIMI (C-ute),16 SAI NO KOI NANTE,98-921-03,PV,C12
ABE RITSUKO,OMOIDE MAKURA,99-851-02,SB,M09
ABE RITSUKO,BARA NO KOHSUI,99-851-01,SB,M09
ABE RITSUKO,AI NO FUREAI,99-701-18,SB,L6
ABE RITSUKO,KAGAMI NO NAKA DE,99-461-07,SB,L4
ABE RITSUKO,AI NO KIZUNA,99-177-16,SB,L0
ABE RITSUKO & SEI NAOYA,SAPPORO City Light '87,99-598-89,SB,M14
Abe Shizue,MIZU IRO NO TEGAMI,97-184-24,VDK,J7
ABE SHIZUE,MIZU IRO NO TEGAMI,99-186-13,SB,L0
ABE YOSHIHARU,Sun set sun,98-805-91,PV,C23
Abelhudos,As Crianças E Os Animais,97-018-04,VDK,20
Abílio Farias,Vou Fechar O Cabaré,97-017-90,VDK,19
Abílio Farias,Coração Indeciso,97-150-49,VDK,23
Abílio Farias,O Genro Odiado,97-151-30,VDK,23
Abingdon Boys School,From Dusk Till Dawn,99-884-14,SB,M16
Abingdon Boys School,Howling,99-875-17,SB,M15
Abingdon Boys School,Innocent sorrow,99-853-91,SB,M09
Abingdon Boys School,Blade Chord,99-527-83,SB,M25
Abingdon Boys School,Blade Chord,98-978-15,PV,C11
Abingdon Boys School,Howling,98-972-30,PV,C08
Abingdon Boys School,Innocent sorrow,98-964-12,PV,C06
Abingdon Boys School,Jap,98-939-26,PV,C17
Abingdon Boys School,KIMI NO UTA,98-935-16,PV,C16
Abingdon Boys School,From Dusk Till Dawn,98-935-15,PV,C16
Abingdon Boys School,Strength,98-930-47,PV,C15
Abingdon Boys School,Nephilim,98-930-46,PV,C15
Abingdon Boys School,We are,98-909-67,PV,C21
Abra Moore,Four Leaf Clover,66-023-06,CDG,G05
Abrams Brothers,Northern Redemption,54-306-09,CDG,G11
Abrina & Baby Bash,Fall Back,58-310-05,CDG,G12
ABS,Give Me What You Got,42-014-05,CDG,G00
ABS,What You Got,72-195-17,CDG,G03
ABS,Little Miss Perfect,72-209-05,CDG,G01
ABS,7 Ways,72-211-10,CDG,G01
Absyntho,Só A Lua,97-063-55,VDK,5
AC/DC,Highway To Hell,97-026-06,VDK,INT04C
AC/DC,Back In Black,97-058-70,VDK,USA3
AC/DC,Dirty Deeds Done Dirt Cheap,10-030-08,CDG,G01
AC/DC,Back In Black,11-005-02,CDG,G00
AC/DC,Hells Bells,11-015-03,CDG,G00
AC/DC,Touch Too Much,11-101-03,CDG,G12
AC/DC,You Shook Me All Night Long,21-024-06,CDG,G00
AC/DC,Money Talks,46-205-10,CDG,G02
AC/DC,Jailbreak,46-205-12,CDG,G02
AC/DC,High Voltage,46-205-15,CDG,G02
AC/DC,Big Gun,51-004-08,CDG,G00
AC/DC,Hard As A Rock,65-265-03,CDG,G10
AC/DC,Have A Drink On Me,65-265-07,CDG,G10
AC/DC,Highway To Hell,67-565-09,CDG,G00
AC/DC,Tnt,68-660-11,CDG,G01
AC/DC,Safe In New York City,68-699-15,CDG,G02
AC/DC,Whole Lotta Rosie,68-701-01,CDG,G00
AC/DC,For Those About To Rock (We Salute You),68-701-02,CDG,G00
AC/DC,Who Made Who,68-701-03,CDG,G00
AC/DC,Sin City,68-701-04,CDG,G00
AC/DC,Sink The Pink,68-701-05,CDG,G00
AC/DC,Girls Got Rhythm,68-701-06,CDG,G00
AC/DC,Rock & Roll Ain't Noise Pollution,68-701-07,CDG,G00
AC/DC,Ride On,68-830-04,CDG,G01
AC/DC,It's A Long Way To The Top,68-869-08,CDG,G01
AC/DC,Problem Child,68-869-12,CDG,G01
AC/DC,Shoot To Thrill,68-928-06,CDG,G01
